Easy073	1	1000976	48254	300	66,56,77,0,0,25,85,30,15,32,20,10,85,40,
Easy074	1	1000199	45090	4256	11,30,10,30,20,5,5,41,70,65,65,
Easy075	1	1000267	35883	902	32,65,1,65,16,75,20,40,80,50,65,15,
Easy076	1	1000362	36939	4752	71,5,70,45,16,50,60,32,46,66,25,
Easy077	1	1000252	38021	19219	30,5,20,16,90,41,50,51,60,70,87,
Easy078	1	1000605	36892	1911	10,0,41,36,40,25,50,65,70,66,
Easy079	1	1000113	69934	1280	65,65,15,65,20,30,30,6,5,35,60,10,
Easy080	1	1000471	36461	12825	81,5,15,71,80,40,65,55,35,66,20,
Easy081	1	1000153	52049	1850	70,0,0,90,55,70,45,80,90,82,55,75,96,65,
Easy082	1	1000269	58654	4132	20,72,65,45,30,15,21,20,10,6,70,
Easy083	1	1000371	33219	8688	0,30,40,70,50,65,40,40,40,51,81,25,65,80,76,
Easy084	1	1000638	47928	343	45,0,77,1,50,15,25,33,10,50,20,
Easy085	1	1000276	35276	2332	45,35,61,60,30,70,90,55,45,90,85,10,85,90,85,5,5,20,
Easy086	1	1000524	34430	5008	65,5,70,15,70,81,30,25,55,66,
Easy087	1	1000740	35138	14395	10,20,0,70,30,40,52,67,75,
Easy088	1	1000598	35613	4599	66,1,51,20,15,20,75,30,80,40,20,65,
Easy089	1	1000411	32835	2291	0,15,21,70,20,40,60,10,62,5,45,30,55,77,
Easy090	1	1000082	35385	8373	60,95,95,1,35,25,0,92,51,50,95,95,95,70,36,80,105,
Easy091	1	1000352	64881	1822	16,50,30,30,1,70,20,52,65,75,
Easy092	1	1000224	52894	2076	0,46,30,66,77,0,15,22,10,6,30,
Easy093	1	1000295	49776	510	50,66,76,21,0,0,80,52,65,35,85,
Easy094	1	1001255	40801	6576	10,75,0,55,0,60,21,30,55,40,55,20,
Easy095	1	1000382	42233	122	11,35,55,56,41,6,5,45,45,50,30,20,30,
Easy096	1	1000597	34215	7952	0,15,15,21,60,71,40,42,56,70,35,15,66,
Easy097	1	1000211	32621	885	60,31,50,75,75,40,30,40,30,66,75,10,20,65,
Easy098	1	1000214	35108	5575	0,35,17,70,71,61,60,21,40,6,50,5,85,
Easy099	1	1001109	37734	4878	70,87,0,1,80,50,60,80,62,86,55,6,45,
Easy100	1	1000513	45832	705	31,0,0,62,16,70,85,15,20,60,6,35,70,41,
Easy101	1	1000088	35606	3590	50,67,1,70,0,61,70,41,40,40,75,35,65,65,75,
Easy102	1	1000843	43479	640	17,40,60,60,1,25,0,65,31,30,30,20,50,60,
Easy103	1	1000877	61978	1239	75,30,60,42,65,35,75,35,5,15,50,20,40,
Easy104	1	1001074	33797	2146	75,50,86,40,85,76,1,51,60,35,50,
Easy105	1	1000585	44671	7935	1,41,60,60,70,40,51,72,55,26,30,65,
